,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,psychotype,satisfied,jobfield
0,-0.12296147366936225,0.9784033389138027,-0.8565646924791883,0.4172007756545003,-0.02027744719703932,-0.005770527330311895,-0.18599127765711676,0.22005861786337996,ISTJ,1,Staff and training
1,1.2442758205890672,-1.750422559656154,0.31917459384450125,0.309001763378998,-0.09805897277390117,0.18439056072105436,0.22533471807337918,-0.015376338174446006,ENTJ,0,Staff and training
2,-0.16865941473543,-1.1849114485790382,1.1207889840085958,-0.6831130921373477,0.2696632605710261,-0.41448471800993336,-0.12432737330670046,-0.11299518573931801,ESTJ,1,Staff and training
3,0.22826413431422984,-0.6245969789192731,2.5265406910569537,1.5883065367524858,-0.29221011972044614,0.21474376204696377,0.25349941457310765,-0.11137602844888139,ENFJ,0,Staff and training
4,1.3435504600465837,-0.8506049290386789,-1.2604866062862232,-1.5390520563674823,0.3866160501137959,0.07533972712791555,-0.08010583128406364,-0.007234224922923574,ESTP,1,Staff and training
5,0.4787437192271579,-0.734017594848106,-0.023543138711266044,-2.2272230547636322,0.33758751524945013,0.311969430464376,0.05443120269075291,-0.23704510501771278,ESTP,1,Staff and training
6,0.48545503157658987,-0.12941020191632646,3.562211828450069,-0.2077373669401174,-0.31214199326976916,0.11549980147657543,0.5075244182154628,0.12254305407935573,ESFJ,1,Staff and training
7,-0.5977073201270392,0.2765437456689998,2.3432475620796254,0.40682046748537304,-0.29067362061566443,-0.04332855356053875,0.03574645167104321,-0.33696097456450635,ESFJ,1,Staff and training
8,-0.3073995299215425,2.0352802265229655,0.5663715522162734,0.910333191464063,-0.8215043248577508,0.03471126306010827,0.261673197019477,-0.27008420149004125,ISTJ,1,Staff and training
9,0.4238469032812275,0.5668424875838441,-1.4456074308774574,0.5058349507435576,0.30439383311004387,-0.0002631432975956426,0.15153080519049128,0.11828498371818576,INTJ,1,Staff and training
10,-1.5131085239150213,1.9580867297714724,0.4086386165572119,-0.5410198594425736,-0.10776019150326693,0.7240031052838912,0.1658447593075228,-0.12296846587750986,ISTJ,1,Staff and training
11,-2.167374700250379,-1.6678770262215026,0.23673165829812226,-1.9115765719653899,-0.14141341966193893,0.0677745863358299,0.43271850658604044,-0.07815542765957535,ESTJ,1,Staff and training
12,1.3634166960599092,1.0995916021764034,1.5057860717967253,1.0486980066180378,0.14063743681305438,-0.055108892622213565,0.1522245264627991,0.10044380347432881,INFJ,1,Staff and training
13,-0.5456987328469574,-0.4909489648617961,2.4327283515998115,0.31877624208055694,-0.35117807053355626,0.018157047536894882,-0.04514248090896572,0.07743041503148512,ESFJ,1,Staff and training
14,2.5081275190266243,1.9353364467654808,0.7951216727976084,-1.1704377675477007,0.7026895215984595,0.0231281151171883,-0.18369005675104813,-0.2020538423547727,ISFP,1,Staff and training
15,0.7049000450373395,-0.6137692409719369,0.9427880683576085,-0.7824852314997054,0.13405066251497774,-0.6766355809395695,-0.16273192808770598,-0.03164846395596463,ESFJ,1,Staff and training
16,-1.1342332592437514,-2.675553954783501,0.6384622590116614,-0.05551254409409877,-0.14389688241023088,0.07774733504505499,0.08044022262482774,-0.009209196905895566,ESTJ,1,Staff and training
17,2.584175368857318,-1.4958104799316216,0.033105690538658986,-0.546271284992873,-0.050359352498739095,-0.39572832664670005,-0.023082848730943052,0.06465329205378129,ENFP,1,Staff and training
18,-1.2364280345881042,1.276361146659647,-0.15265191913880027,0.6783407081606788,0.6208219273560827,0.15601070077449614,0.2549590683508119,0.13716184188666125,ISTJ,1,Staff and training
19,3.35585708340732,0.721462715812634,0.056555311746135616,-0.8402589114419566,-0.16498199006814657,-0.24357697350112764,-0.2598317819411442,0.4706041925168334,ENFP,0,Staff and training
20,2.118513823768166,2.54925463216359,1.493110126369923,-1.648212671466881,-0.007160470556610508,0.35595046004689285,-0.43685120797357185,0.1762694468702348,ISFP,0,Staff and training
21,2.0227640145307153,-0.3550756526486907,-1.3245085774984369,-0.037884821550358314,0.3012035009751109,-0.2544015152529828,-0.012765674679842886,-0.09862114319629298,ENTP,0,Staff and training
22,-0.049260580559823394,0.9471560854013288,-0.3057688199549173,0.8765313078376922,-0.3607698237643863,0.13075784135605775,-0.11790454965210485,0.10382416213994779,INTJ,1,Staff and training
23,0.3843207046610841,-0.2657795037285988,-1.1003193366401653,-0.478333079609491,0.14326895358345895,-0.23486740702528108,-0.23283383936160001,-0.5081603411752971,ESTP,1,Staff and training
24,2.4625981593167356,0.16105715479766697,0.9178453093723277,-0.4365364720431699,0.2447515879678892,-0.17760688769246902,0.335256069118353,-0.14829674410243987,ENFP,1,Staff and training
25,3.632834724100421,1.5735563363834748,-0.23092828591586456,-0.46311001916675076,-0.14051126225696575,-0.30506092294173026,-0.0787216619669143,0.15547273458595914,INFP,0,Staff and training
26,2.370555731724311,-1.355142849289309,2.5520339324800907,0.71056504444392,-0.42604330013287794,0.6283820255702017,-0.025329811886560125,0.09278382393401656,ENFJ,1,Staff and training
27,1.990087563882441,-0.35713744710768897,1.202703127267171,0.9188231169416853,0.18293373286676617,0.004943958847071571,-0.45074423422325915,-0.36173581061921717,ENFJ,1,Staff and training
28,-0.36470077911185433,2.346632420839483,0.566909235119424,0.016536974032440022,-0.056442493806247294,0.18281290852537263,-0.0559894973199008,0.19367312969767134,ISFJ,1,Staff and training
29,1.7739153459387556,-1.8801076479371788,0.6258979219732818,0.7476223354426526,-0.2413929265140655,0.1369173976562375,0.0019293064968204285,0.3055604324510987,ENTJ,0,Staff and training
