jobtitle,scale_e,scale_n,scale_t,scale_j,satisfied
HR manager,16,16,23,22,1
HR manager,28,18,20,20,0
HR manager,28,10,16,22,1
HR manager,24,17,13,31,0
HR manager,25,13,23,10,1
HR manager,25,7,21,12,1
HR manager,23,11,7,28,1
HR manager,21,12,13,28,1
HR manager,10,18,18,25,1
HR manager,16,17,24,19,1
HR manager,11,7,23,24,1
HR manager,26,3,27,23,1
HR manager,17,18,10,24,1
HR manager,25,12,14,30,1
HR manager,16,13,8,10,1
HR manager,26,13,13,19,1
HR manager,32,11,25,27,1
HR manager,29,20,15,13,1
HR manager,13,10,22,27,1
HR manager,21,21,11,11,0
HR manager,15,12,8,13,0
HR manager,22,20,20,12,0
HR manager,16,18,22,24,1
HR manager,22,15,23,14,1
HR manager,21,17,10,14,1
HR manager,16,23,10,9,0
HR manager,30,20,11,23,1
HR manager,26,20,12,19,1
HR manager,11,12,17,24,1
HR manager,30,21,18,22,0
HR manager,21,20,29,26,0
HR manager,29,18,26,5,1
HR manager,26,12,25,28,1
HR manager,19,15,19,28,1
HR manager,28,22,12,16,1
HR manager,25,19,18,20,1
HR manager,22,11,14,32,1
HR manager,26,14,21,24,0
HR manager,14,22,9,15,1
HR manager,17,22,13,23,0
HR manager,16,19,21,22,1
HR manager,25,17,11,26,1
HR manager,26,22,21,19,1
HR manager,12,18,31,29,1
HR manager,20,9,17,8,1
HR manager,16,15,19,6,0
HR manager,28,30,12,11,0
HR manager,7,11,33,25,0
HR manager,28,21,18,26,1
HR manager,20,14,25,15,1
HR manager,9,6,18,23,0
HR manager,25,22,23,21,0
HR manager,21,10,25,25,0
HR manager,8,13,15,25,0
HR manager,15,9,13,25,0
HR manager,18,14,14,21,1
HR manager,25,19,14,20,1
HR manager,27,17,22,24,1
HR manager,21,15,12,26,1
HR manager,16,17,22,24,1
HR manager,20,14,23,29,1
HR manager,28,19,5,21,1
HR manager,15,12,12,24,0
HR manager,20,14,7,25,1
HR manager,25,20,25,19,1
HR manager,27,13,15,23,1
HR manager,10,19,14,22,0
HR manager,11,20,17,11,0
HR manager,17,22,17,22,1
HR manager,25,16,15,17,0
HR manager,14,16,18,17,1
HR manager,23,21,19,21,0
HR manager,24,7,9,24,0
HR manager,29,18,6,19,0
HR manager,28,2,25,31,1
HR manager,12,1,21,32,1
HR manager,25,19,21,14,1
HR manager,9,11,17,29,0
HR manager,25,11,22,20,1
HR manager,14,11,14,28,0
HR manager,11,23,20,12,0
HR manager,24,6,18,30,1
HR manager,33,22,22,26,1
HR manager,11,10,27,26,0
HR manager,25,10,20,25,1
HR manager,14,17,11,21,0
HR manager,18,20,17,15,0
HR manager,30,13,16,25,1
HR manager,26,13,22,19,1
HR manager,15,22,2,0,1
HR manager,26,29,14,22,1
HR manager,27,19,22,19,0
HR manager,15,18,17,23,1
HR manager,9,20,16,23,1
HR manager,18,12,12,18,0
HR manager,15,24,14,13,0
HR manager,13,14,18,26,1
HR manager,21,17,6,20,1
HR manager,17,8,6,24,1
HR manager,22,11,25,27,1
HR manager,27,18,20,8,1
HR manager,9,8,24,30,1
HR manager,23,14,30,7,1
HR manager,19,18,18,23,1
HR manager,30,14,14,32,1
HR manager,11,22,15,17,1
HR manager,30,22,17,15,1
HR manager,25,10,20,31,1
HR manager,24,17,20,25,1
HR manager,25,11,24,28,1
HR manager,19,9,20,20,0
HR manager,12,23,28,10,0
HR manager,23,22,26,18,1
HR manager,16,25,14,21,1
HR manager,16,19,21,20,0
HR manager,24,16,14,21,1
HR manager,14,23,11,13,1
HR manager,22,11,12,23,1
HR manager,11,18,20,21,1
HR manager,18,14,25,15,1
HR manager,15,24,10,11,1
HR manager,28,23,13,19,1
HR manager,26,19,22,22,1
HR manager,15,8,17,21,0
HR manager,27,11,14,26,1
HR manager,12,10,22,24,0
HR manager,12,22,18,20,0
HR manager,25,12,24,23,1
HR manager,26,19,15,5,1
HR manager,19,20,17,27,1
HR manager,8,20,29,23,1
HR manager,23,9,10,28,0
HR manager,14,19,5,9,0
HR manager,20,26,18,7,1
HR manager,22,16,22,16,1
HR manager,19,4,22,31,1
HR manager,14,22,20,9,1
HR manager,28,10,15,20,1
HR manager,19,14,16,18,1
HR manager,21,19,21,13,1
HR manager,17,17,20,21,1
HR manager,14,28,25,18,0
HR manager,13,11,29,12,1
HR manager,15,16,30,14,0
HR manager,18,18,11,26,0
HR manager,16,9,26,29,1
HR manager,16,19,11,9,0
HR manager,28,16,14,15,1
HR manager,17,17,21,22,0
HR manager,9,8,25,19,0
HR manager,28,13,16,23,1
HR manager,14,21,14,9,1
HR manager,23,16,27,28,1
HR manager,14,25,9,12,1
HR manager,23,23,24,16,0
HR manager,20,20,21,28,0
HR manager,18,13,13,20,1
HR manager,18,8,18,24,1
HR manager,25,18,19,22,1
HR manager,27,11,9,19,0
HR manager,14,17,20,24,0
HR manager,15,17,12,10,1
HR manager,20,16,15,25,1
HR manager,18,9,20,24,1
HR manager,15,14,21,27,1
HR manager,14,11,11,28,1
HR manager,19,21,20,16,1
HR manager,10,21,22,14,0
HR manager,20,17,17,22,1
HR manager,14,13,28,24,0
HR manager,19,17,23,24,1
HR manager,21,12,31,26,0
HR manager,10,9,18,31,1
HR manager,17,14,19,15,0
HR manager,13,16,4,11,1
HR manager,17,20,17,13,1
HR manager,27,20,21,1,1
HR manager,17,10,26,21,1
HR manager,13,15,11,13,1
HR manager,20,15,6,22,0
HR manager,24,16,21,12,1
HR manager,22,13,28,23,1
HR manager,19,23,18,10,1
HR manager,23,18,18,22,1
HR manager,13,1,21,29,1
HR manager,28,5,29,9,1
HR manager,18,15,19,25,0
HR manager,28,12,12,27,1
HR manager,15,21,18,12,0
HR manager,23,17,20,10,1
HR manager,23,16,12,29,0
HR manager,21,25,10,10,0
HR manager,18,20,17,17,1
HR manager,15,5,17,28,0
HR manager,10,16,17,21,0
HR manager,20,12,17,21,1
HR manager,19,13,15,19,0
HR manager,25,16,20,15,0
HR manager,21,14,18,25,1
HR manager,26,9,24,23,1
HR manager,17,7,15,32,1
HR manager,19,10,22,21,1
HR manager,16,21,16,15,0
HR manager,23,15,19,16,1
HR manager,14,17,19,15,0
HR manager,22,14,27,16,0
HR manager,24,22,21,17,1
HR manager,17,14,10,26,0
HR manager,21,14,15,20,1
HR manager,18,21,8,10,1
HR manager,18,20,18,21,1
HR manager,13,21,20,6,0
HR manager,10,10,21,15,0
HR manager,30,21,19,16,1
HR manager,8,9,13,25,1
HR manager,16,16,19,30,1
HR manager,26,24,14,1,0
HR manager,22,16,16,23,1
HR manager,21,3,31,35,1
HR manager,19,20,5,14,0
HR manager,22,23,12,12,0
HR manager,20,11,3,18,1
HR manager,17,20,22,27,1
HR manager,14,14,13,27,1
HR manager,31,9,24,30,1
HR manager,19,9,11,26,1
HR manager,13,18,11,24,0
HR manager,13,8,25,25,0
HR manager,25,11,31,33,0
HR manager,25,18,27,16,1
HR manager,12,11,10,20,0
HR manager,23,15,23,18,1
HR manager,21,18,18,16,1
HR manager,19,13,15,22,0
HR manager,20,7,21,27,1
HR manager,26,7,27,26,0
HR manager,7,19,22,16,1
HR manager,18,16,17,16,1
HR manager,25,10,20,26,1
HR manager,33,12,17,28,1
HR manager,23,15,29,24,1
HR manager,4,7,19,25,0
HR manager,24,19,14,23,1
HR manager,11,7,17,32,1
HR manager,23,14,16,15,1
HR manager,26,18,15,27,1
HR manager,21,19,23,10,0
HR manager,23,10,8,34,1
HR manager,20,13,19,23,0
HR manager,24,24,9,3,1
HR manager,13,2,21,30,1
HR manager,32,13,17,20,1
HR manager,21,9,17,24,1
HR manager,18,14,20,26,1
HR manager,22,15,8,30,1
HR manager,22,9,27,31,1
HR manager,19,16,6,20,0
IT manager,24,7,25,30,1
IT manager,14,17,14,14,0
IT manager,25,17,25,27,1
IT manager,20,7,26,24,1
IT manager,19,19,23,15,0
IT manager,4,19,19,16,0
IT manager,17,15,20,21,0
IT manager,25,7,18,21,1
IT manager,17,7,29,33,1
IT manager,25,22,23,27,1
IT manager,19,24,24,9,0
IT manager,27,23,27,11,0
IT manager,16,19,19,17,0
IT manager,20,8,33,31,1
IT manager,14,18,17,17,0
IT manager,31,9,20,31,1
IT manager,14,29,16,14,0
IT manager,24,22,15,19,1
IT manager,9,28,29,20,1
IT manager,26,16,22,24,0
IT manager,19,15,33,8,1
IT manager,17,13,23,19,0
IT manager,21,14,25,25,0
IT manager,18,22,22,24,1
IT manager,16,15,31,13,1
IT manager,20,18,29,5,1
IT manager,29,21,9,6,0
IT manager,21,27,24,19,0
IT manager,20,14,27,18,0
IT manager,15,8,22,21,1
IT manager,24,7,24,28,1
IT manager,18,8,25,30,1
IT manager,27,20,17,2,1
IT manager,12,18,21,24,1
IT manager,18,21,29,32,1
IT manager,9,11,30,29,1
IT manager,30,14,26,23,1
IT manager,25,7,21,30,1
IT manager,25,9,34,30,0
IT manager,21,15,18,28,1
IT manager,15,11,20,18,1
IT manager,24,23,18,12,0
IT manager,15,14,25,20,1
IT manager,2,23,22,13,0
IT manager,10,18,18,25,0
IT manager,23,17,15,12,0
IT manager,19,14,17,20,1
IT manager,13,14,14,18,1
IT manager,12,21,22,17,0
IT manager,14,11,20,26,1
IT manager,19,17,4,21,0
IT manager,16,13,10,18,1
IT manager,21,19,24,17,1
IT manager,11,4,28,14,1
IT manager,15,6,30,16,1
IT manager,25,13,10,21,0
IT manager,11,13,23,15,0
IT manager,21,13,13,13,0
IT manager,27,21,23,20,1
IT manager,24,11,15,28,1
IT manager,6,10,22,20,1
IT manager,22,11,19,30,1
IT manager,19,22,32,22,0
IT manager,22,18,24,16,0
IT manager,27,8,30,26,1
IT manager,26,13,12,19,1
IT manager,32,22,18,6,1
IT manager,27,15,27,29,0
IT manager,25,17,19,24,0
IT manager,25,3,32,35,1
IT manager,15,16,25,22,0
IT manager,26,14,24,28,1
IT manager,25,8,26,19,1
IT manager,24,4,24,26,1
IT manager,21,8,15,21,1
IT manager,18,11,17,25,1
IT manager,8,8,17,17,0
IT manager,27,13,32,26,1
IT manager,27,18,23,22,1
IT manager,21,19,10,19,0
IT manager,20,8,30,29,1
IT manager,7,21,19,19,1
IT manager,25,12,22,29,0
IT manager,20,10,25,29,1
IT manager,13,11,30,28,1
IT manager,22,8,31,28,1
IT manager,24,23,25,26,1
IT manager,10,18,25,27,1
IT manager,16,6,27,18,0
IT manager,9,14,26,21,0
IT manager,10,4,3,8,0
IT manager,25,20,26,23,1
IT manager,14,17,30,24,1
IT manager,23,25,15,9,0
IT manager,9,23,21,18,1
IT manager,23,14,30,31,1
IT manager,16,12,26,14,0
IT manager,9,11,22,21,0
IT manager,12,13,24,12,1
IT manager,17,8,28,32,1
IT manager,14,19,27,17,1
IT manager,17,5,20,26,1
IT manager,18,10,30,21,1
IT manager,19,8,17,17,1
IT manager,14,12,30,28,1
IT manager,21,20,26,27,1
IT manager,10,13,10,30,0
IT manager,27,19,22,8,0
IT manager,26,11,29,30,1
IT manager,19,11,19,11,1
IT manager,11,19,34,28,1
IT manager,23,15,27,20,0
IT manager,28,12,30,8,0
IT manager,29,15,16,22,1
IT manager,16,11,28,16,0
IT manager,26,18,27,7,0
IT manager,20,11,31,32,0
IT manager,18,3,31,28,0
IT manager,22,10,16,14,1
IT manager,10,11,18,14,0
IT manager,21,18,18,31,1
IT manager,19,18,30,22,1
IT manager,16,18,25,15,0
IT manager,14,19,16,13,1
IT manager,18,12,18,30,1
IT manager,13,13,25,26,1
IT manager,17,12,20,21,0
IT manager,23,13,20,9,1
IT manager,26,17,24,15,0
IT manager,13,24,20,10,1
IT manager,22,18,22,22,1
IT manager,6,9,16,26,0
IT manager,16,17,28,11,1
IT manager,15,20,26,3,1
IT manager,13,11,21,14,1
IT manager,19,19,29,16,1
IT manager,26,11,24,28,1
IT manager,5,11,22,23,1
IT manager,26,12,28,28,1
IT manager,26,10,27,31,1
IT manager,17,18,15,18,1
IT manager,12,3,26,31,0
IT manager,22,25,29,14,1
IT manager,16,16,31,24,1
IT manager,23,22,25,12,0
IT manager,28,9,17,25,1
IT manager,22,9,31,32,1
IT manager,9,9,19,30,1
IT manager,26,19,15,15,1
IT manager,18,11,17,17,1
IT manager,11,5,26,29,1
IT manager,17,11,26,25,1
IT manager,20,13,21,31,1
IT manager,31,11,26,24,1
IT manager,21,9,30,25,0
IT manager,30,11,12,29,1
IT manager,19,24,12,13,0
IT manager,16,9,27,26,0
IT manager,26,2,20,15,1
IT manager,13,15,21,20,1
IT manager,26,17,22,23,1
IT manager,19,13,19,24,0
IT manager,10,13,23,20,1
IT manager,16,21,20,20,1
IT manager,13,20,29,19,1
IT manager,24,17,17,26,0
IT manager,11,14,30,28,1
IT manager,16,21,22,7,1
IT manager,19,12,15,17,0
IT manager,24,8,28,17,1
IT manager,22,24,21,18,0
IT manager,17,17,27,25,1
IT manager,10,10,19,29,1
IT manager,9,20,26,30,1
IT manager,30,10,26,28,1
IT manager,31,20,17,16,0
IT manager,13,18,10,20,0
IT manager,13,14,19,13,1
IT manager,22,7,9,21,1
IT manager,21,6,17,27,1
IT manager,19,7,24,18,0
IT manager,16,21,21,20,1
IT manager,18,10,18,20,1
IT manager,25,2,22,34,1
IT manager,18,14,25,27,1
IT manager,23,7,23,26,1
PR manager,31,13,16,25,1
PR manager,25,16,16,6,0
PR manager,24,13,16,26,1
PR manager,30,17,16,11,1
PR manager,34,17,18,12,1
PR manager,24,16,28,24,1
PR manager,18,16,19,13,0
PR manager,19,19,21,22,1
PR manager,19,23,21,14,0
PR manager,20,15,23,14,0
PR manager,34,21,14,16,1
PR manager,12,10,12,14,1
PR manager,23,16,19,22,1
PR manager,24,19,15,11,1
PR manager,28,10,20,24,0
PR manager,27,22,14,13,1
PR manager,12,11,24,29,0
PR manager,16,16,13,19,1
PR manager,28,20,28,25,1
PR manager,25,10,16,23,1
PR manager,17,15,21,13,1
PR manager,14,26,16,27,0
PR manager,32,16,26,16,1
PR manager,24,19,19,22,1
PR manager,30,19,20,31,1
PR manager,12,14,16,32,1
PR manager,30,17,25,16,1
PR manager,23,4,23,28,1
PR manager,24,16,15,29,1
PR manager,26,20,20,16,1
PR manager,5,15,14,22,1
PR manager,25,31,17,13,1
PR manager,28,17,16,32,1
PR manager,14,20,4,25,0
PR manager,20,18,11,26,1
PR manager,8,24,2,5,0
PR manager,28,27,3,11,1
PR manager,24,8,28,29,1
PR manager,14,10,20,27,0
PR manager,9,12,17,19,0
PR manager,20,23,14,27,1
PR manager,14,20,18,15,1
PR manager,30,23,7,14,1
PR manager,27,21,21,26,0
PR manager,22,25,24,9,1
PR manager,19,19,16,30,1
PR manager,22,19,27,26,1
PR manager,18,17,13,17,1
PR manager,32,12,21,16,1
PR manager,27,20,28,25,1
PR manager,15,18,22,16,1
PR manager,25,16,24,18,1
PR manager,20,13,18,17,1
PR manager,28,17,16,9,0
PR manager,10,26,24,14,1
PR manager,23,29,9,13,1
PR manager,23,27,25,26,0
PR manager,33,24,12,16,1
PR manager,27,23,13,13,0
PR manager,27,21,13,15,1
PR manager,27,13,21,28,1
PR manager,18,26,24,25,0
PR manager,22,21,18,3,1
PR manager,29,17,27,15,1
PR manager,25,8,22,28,1
PR manager,23,25,19,9,1
PR manager,28,10,27,21,1
PR manager,34,7,26,32,1
PR manager,26,17,30,28,0
PR manager,28,13,23,28,1
PR manager,21,15,20,32,1
PR manager,22,16,15,26,1
PR manager,23,21,14,21,0
PR manager,21,19,7,19,0
PR manager,31,20,12,12,1
PR manager,24,22,18,19,1
PR manager,9,5,13,17,1
PR manager,26,21,26,10,1
PR manager,12,17,15,19,0
PR manager,26,22,12,9,1
PR manager,18,9,24,8,1
PR manager,30,27,6,3,1
PR manager,20,10,12,26,0
PR manager,20,13,13,15,1
PR manager,20,23,28,11,1
PR manager,25,22,27,11,1
PR manager,22,17,27,19,1
PR manager,16,13,11,28,1
PR manager,22,8,34,24,1
PR manager,16,28,18,20,1
PR manager,23,7,17,22,0
PR manager,25,25,5,12,1
Sales Agent (real estate/insurance),31,20,18,10,1
Sales Agent (real estate/insurance),23,8,22,21,1
Sales Agent (real estate/insurance),30,15,8,28,1
Sales Agent (real estate/insurance),29,10,27,25,1
Sales Agent (real estate/insurance),26,4,23,29,1
Sales Agent (real estate/insurance),10,27,31,19,0
Sales Agent (real estate/insurance),17,13,31,21,1
Sales Agent (real estate/insurance),14,20,22,12,0
Sales Agent (real estate/insurance),21,8,24,33,1
Sales Agent (real estate/insurance),19,17,13,17,1
Sales Agent (real estate/insurance),33,14,30,18,1
Sales Agent (real estate/insurance),27,13,14,28,1
Sales Agent (real estate/insurance),18,22,15,13,0
Sales Agent (real estate/insurance),9,17,18,21,0
Sales Agent (real estate/insurance),20,19,16,8,1
Sales Agent (real estate/insurance),23,14,15,25,1
Sales Agent (real estate/insurance),25,12,21,24,1
Sales Agent (real estate/insurance),33,8,22,21,1
Sales Agent (real estate/insurance),20,13,27,24,1
Sales Agent (real estate/insurance),32,20,11,10,1
Sales Agent (real estate/insurance),21,8,32,20,1
Sales Agent (real estate/insurance),21,7,27,21,1
Sales Agent (real estate/insurance),26,11,20,28,1
Sales Agent (real estate/insurance),34,9,15,12,1
Sales Agent (real estate/insurance),26,16,23,5,1
Sales Agent (real estate/insurance),22,20,26,11,1
Sales Agent (real estate/insurance),25,12,19,17,1
Sales Agent (real estate/insurance),24,14,27,19,1
Sales Agent (real estate/insurance),35,19,18,22,1
Sales Agent (real estate/insurance),28,17,26,23,1
Sales Agent (real estate/insurance),12,13,11,16,1
Sales Agent (real estate/insurance),20,27,7,16,1
Sales Agent (real estate/insurance),18,5,30,25,1
Sales Agent (real estate/insurance),17,13,25,18,1
Sales Agent (real estate/insurance),24,13,21,28,0
Sales Agent (real estate/insurance),28,19,18,25,1
Sales Agent (real estate/insurance),22,10,24,17,0
Sales Agent (real estate/insurance),25,20,20,9,1
Sales Agent (real estate/insurance),17,6,31,27,0
Sales Agent (real estate/insurance),23,25,14,15,1
Sales Agent (real estate/insurance),16,26,9,6,1
Sales Agent (real estate/insurance),18,1,30,30,1
Sales Agent (real estate/insurance),15,7,19,19,0
Sales Agent (real estate/insurance),28,7,32,27,1
Sales Agent (real estate/insurance),23,12,20,25,0
Sales Agent (real estate/insurance),16,13,19,29,1
Sales Agent (real estate/insurance),14,19,16,8,0
Sales Agent (real estate/insurance),25,19,17,21,1
Sales Agent (real estate/insurance),24,11,16,30,1
Sales Agent (real estate/insurance),6,18,10,23,0
Sales Agent (real estate/insurance),29,11,13,20,1
Sales Agent (real estate/insurance),32,25,4,26,1
Sales Agent (real estate/insurance),18,9,32,19,0
Sales Agent (real estate/insurance),34,11,26,23,0
Sales Agent (real estate/insurance),15,26,16,23,1
Sales Agent (real estate/insurance),20,10,30,25,1
Sales Agent (real estate/insurance),25,16,10,25,0
Sales Agent (real estate/insurance),15,8,16,29,1
Sales Agent (real estate/insurance),15,15,21,19,1
Sales Agent (real estate/insurance),21,12,15,14,1
Sales Agent (real estate/insurance),27,14,23,32,1
Sales Agent (real estate/insurance),28,12,29,23,1
Sales Agent (real estate/insurance),27,12,27,19,0
Sales Agent (real estate/insurance),19,12,27,5,1
Sales Agent (real estate/insurance),30,17,19,24,1
Sales Agent (real estate/insurance),22,22,17,23,1
Sales Agent (real estate/insurance),21,21,20,10,0
Sales Agent (real estate/insurance),25,17,29,21,0
Sales Agent (real estate/insurance),18,10,26,15,1
Sales Agent (real estate/insurance),17,12,21,25,1
Sales Agent (real estate/insurance),19,20,5,21,1
Sales Agent (real estate/insurance),32,18,28,12,1
Sales Agent (real estate/insurance),22,11,28,23,1
Sales Agent (real estate/insurance),26,18,25,3,1
Sales Agent (real estate/insurance),25,19,18,11,1
Sales Agent (real estate/insurance),28,11,15,11,1
Sales Agent (real estate/insurance),21,10,28,28,0
Sales Agent (real estate/insurance),12,8,26,34,1
Sales Agent (real estate/insurance),27,12,23,18,1
Sales Agent (real estate/insurance),32,10,23,25,1
Sales Agent (real estate/insurance),29,18,25,11,1
Sales Agent (real estate/insurance),26,8,25,21,1
Sales Agent (real estate/insurance),28,12,28,26,1
Sales Agent (real estate/insurance),18,12,25,24,1
Sales Agent (real estate/insurance),22,15,21,25,1
Sales Agent (real estate/insurance),14,21,13,19,0
System administrator,6,16,22,23,0
System administrator,18,20,16,15,1
System administrator,27,14,29,21,1
System administrator,25,24,16,23,1
System administrator,19,20,25,17,0
System administrator,17,11,23,26,1
System administrator,12,7,25,27,1
System administrator,26,15,13,26,1
System administrator,33,12,25,29,1
System administrator,19,11,23,28,1
System administrator,18,24,21,22,1
System administrator,23,11,18,30,1
System administrator,18,10,26,27,0
System administrator,17,11,25,33,0
System administrator,29,15,25,11,1
System administrator,20,8,22,30,0
System administrator,13,20,28,14,0
System administrator,14,4,28,17,0
System administrator,19,9,28,11,1
System administrator,16,19,16,25,0
System administrator,24,15,21,23,1
System administrator,20,9,29,29,1
System administrator,22,14,26,19,0
System administrator,23,28,9,12,0
System administrator,20,15,23,20,1
System administrator,14,20,21,20,0
System administrator,12,17,24,22,0
System administrator,20,15,21,21,0
System administrator,16,14,26,25,1
System administrator,16,3,34,25,1
System administrator,11,14,29,18,1
System administrator,22,13,24,14,0
System administrator,18,15,26,26,0
System administrator,15,5,29,30,1
System administrator,13,15,26,18,0
System administrator,24,14,20,19,0
System administrator,15,16,22,22,0
System administrator,18,5,32,23,0
System administrator,16,14,23,15,0
System administrator,11,12,23,15,1
System administrator,30,14,13,16,0
System administrator,21,19,21,18,1
System administrator,25,17,24,26,1
System administrator,22,15,23,26,1
System administrator,14,17,28,22,0
System administrator,26,4,27,30,1
System administrator,28,21,18,19,1
System administrator,20,8,21,23,1
System administrator,20,17,29,23,1
System administrator,25,10,30,26,1
System administrator,21,13,16,25,0
System administrator,12,13,20,19,1
System administrator,23,18,22,15,1
System administrator,28,10,26,16,1
System administrator,23,15,24,21,0
System administrator,10,7,21,11,0
System administrator,9,8,19,26,0
System administrator,8,5,16,26,1
System administrator,26,14,29,13,1
System administrator,12,10,33,17,1
System administrator,26,17,22,20,1
System administrator,9,14,28,14,0
System administrator,22,9,25,25,1
System administrator,22,5,28,29,1
System administrator,17,7,32,19,1
System administrator,5,5,35,28,0
System administrator,11,20,0,1,0
System administrator,22,11,29,22,1
System administrator,6,15,26,29,1
System administrator,6,18,15,23,1
System administrator,20,19,17,4,1
System administrator,12,8,16,13,1
System administrator,16,9,29,30,1
System administrator,17,17,29,27,1
System administrator,26,10,28,24,1
System administrator,16,8,28,19,1
System administrator,5,8,27,20,0
System administrator,29,12,20,21,1
System administrator,16,23,23,23,1
System administrator,26,4,22,32,1
System administrator,8,8,26,23,1
System administrator,8,15,23,31,1
System administrator,7,11,18,23,1
System administrator,6,9,33,34,1
System administrator,6,4,27,33,0
System administrator,17,19,25,6,0
System administrator,30,22,15,18,1
System administrator,3,28,31,9,0
System administrator,23,12,23,26,1
System administrator,13,14,13,9,0
System administrator,17,17,27,14,1
System administrator,16,14,27,20,0
System administrator,13,18,31,13,0
System administrator,13,7,22,18,1
System administrator,2,36,1,1,0
System administrator,29,11,25,29,1
System administrator,17,9,18,29,1
System administrator,22,13,24,14,1
System administrator,19,3,32,31,1
System administrator,25,23,20,9,0
System administrator,23,14,29,28,1
System administrator,21,16,19,13,1
System administrator,28,18,25,18,1
System administrator,4,16,6,31,0
System administrator,28,25,17,8,1
System administrator,5,13,12,16,0
System administrator,11,9,23,34,0
System administrator,27,10,9,12,0
System administrator,19,11,17,17,1
System administrator,20,13,22,28,1
System administrator,16,15,9,25,1
System administrator,23,16,27,27,1
System administrator,22,24,23,25,1
System administrator,21,23,12,14,0
System administrator,21,16,17,21,0
System administrator,16,10,28,23,1
System administrator,15,23,21,21,0
System administrator,21,11,7,22,1
System administrator,23,2,35,32,0
System administrator,23,16,18,14,0
System administrator,9,13,4,13,1
System administrator,27,16,11,8,0
System administrator,7,7,32,11,0
System administrator,9,5,30,34,1
System administrator,21,4,24,25,1
System administrator,32,18,21,17,0
System administrator,23,15,0,0,0
System administrator,26,9,28,22,0
System administrator,25,8,29,24,1
Administrator of the trading floor,19,8,29,28,1
Administrator of the trading floor,10,10,6,24,0
Administrator of the trading floor,22,23,34,22,0
Administrator of the trading floor,8,23,23,26,0
Administrator of the trading floor,24,12,18,31,0
Administrator of the trading floor,23,12,33,26,1
Administrator of the trading floor,9,17,16,17,1
Administrator of the trading floor,18,10,18,29,1
Administrator of the trading floor,27,13,24,23,1
Administrator of the trading floor,11,25,8,16,0
Administrator of the trading floor,24,2,12,26,1
Administrator of the trading floor,16,12,29,21,1
Administrator of the trading floor,21,6,19,30,1
Administrator of the trading floor,28,18,31,12,0
Administrator of the trading floor,27,8,26,29,1
Administrator of the trading floor,12,11,27,14,1
Administrator of the trading floor,22,21,18,26,0
Administrator of the trading floor,11,4,29,28,1
Administrator of the trading floor,21,13,11,24,0
Administrator of the trading floor,24,8,30,32,1
Administrator of the trading floor,26,8,19,21,1
Administrator of the trading floor,24,15,7,13,1
Administrator of the trading floor,20,17,27,21,1
Administrator of the trading floor,19,7,21,30,0
Administrator of the trading floor,20,24,13,16,0
Administrator of the trading floor,19,12,3,18,1
Administrator of the trading floor,17,12,17,26,1
Administrator of the trading floor,27,22,26,14,1
Administrator of the trading floor,15,14,13,20,1
Administrator of the trading floor,12,1,32,31,1
Administrator of the trading floor,20,20,3,20,1
Administrator of the trading floor,26,17,21,7,0
Administrator of the trading floor,17,11,20,29,0
Administrator of the trading floor,9,8,27,23,1
Administrator of the trading floor,20,12,30,24,1
Administrator of the trading floor,20,18,20,23,1
Administrator of the trading floor,15,23,21,17,0
Administrator of the trading floor,15,14,17,14,0
Administrator of the trading floor,20,19,12,18,0
Administrator of the trading floor,22,11,13,16,1
Administrator of the trading floor,22,24,8,13,0
Administrator of the trading floor,15,13,16,17,0
Administrator of the trading floor,26,15,29,13,1
Administrator of the trading floor,23,20,25,26,0
Administrator of the trading floor,17,10,19,26,0
Administrator of the trading floor,23,14,29,21,1
Administrator of the trading floor,16,27,7,17,0
Administrator of the trading floor,27,26,5,6,1
Administrator of the trading floor,12,17,11,16,0
Administrator of the trading floor,13,5,29,19,1
Administrator of the trading floor,31,7,29,23,1
Administrator of the trading floor,29,9,24,26,1
Administrator of the trading floor,24,15,12,13,1
Administrator of the trading floor,24,15,16,25,0
Administrator of the trading floor,19,9,23,21,1
Administrator of the trading floor,18,25,11,7,1
Administrator of the trading floor,15,8,21,32,0
Administrator of the trading floor,35,26,1,1,1
Administrator of the trading floor,30,16,18,17,1
Administrator of the trading floor,21,10,20,20,0
Administrator of the trading floor,24,20,14,9,1
Administrator of the trading floor,22,20,12,32,1
Administrator of the trading floor,23,8,29,27,1
Administrator of the trading floor,20,19,18,24,0
Administrator of the trading floor,19,18,22,24,0
Administrator of the trading floor,24,18,28,19,0
Administrator of the trading floor,28,17,22,24,1
Administrator of the trading floor,16,21,17,18,0
Administrator of the trading floor,17,14,19,23,1
Administrator of the trading floor,14,17,17,25,0
Administrator of the trading floor,19,9,17,22,1
Administrator of the trading floor,23,10,22,28,1
Administrator of the trading floor,18,8,19,24,1
Administrator of the trading floor,28,7,26,31,1
Administrator of the trading floor,28,8,28,26,1
Administrator of the trading floor,30,13,21,25,1
Administrator of the trading floor,20,10,26,3,1
Administrator of the trading floor,18,8,24,29,1
Administrator of the trading floor,20,5,21,16,0
Administrator of the trading floor,26,12,27,26,1
Administrator of the trading floor,24,11,24,27,0
Administrator of the trading floor,9,20,11,16,1
Administrator of the trading floor,9,16,1,15,0
Administrator of the trading floor,25,6,29,30,1
Administrator of the trading floor,23,5,20,24,1
Administrator of the trading floor,24,10,24,29,1
Administrator of the trading floor,24,13,28,23,1
Administrator of the trading floor,17,2,26,31,1
